Date,total_checked,before_sleep_check,rise_time_check,meditation_check,reading_check,morning_thoughts_check,push_up_check
5/15/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/16/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/17/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/18/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5/19/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/20/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5/21/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5/22/2022,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5/23/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/3/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/4/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/5/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/6/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/7/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/8/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/10/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/12/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/14/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/15/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6/16/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6/17/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
6/18/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/19/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/20/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/21/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/22/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/23/2022,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
6/24/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6/25/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/26/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/27/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6/28/2022,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
6/29/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
6/30/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/1/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/2/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7/4/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
7/5/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
7/5/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/6/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/7/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/8/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
